"date","center_name","주문(취소제외)"
"2025-05-10","청주흥덕점",8709
"2025-05-10","춘천점",4225
"2025-05-10","파주점",8124
"2025-05-10","평택고덕점",5708
"2025-05-10","평택점",13254
"2025-05-10","하남점",9164
"2025-05-11","강남논현점",11934
"2025-05-11","강남압구정점",6201
"2025-05-11","강남양재점",14717
"2025-05-11","강동천호점",14672
"2025-05-11","강북미아점",15927
"2025-05-11","강서가양점",15698
"2025-05-11","강서화곡점",20687
"2025-05-11","고양점",5450
"2025-05-11","관악신림점",18413
"2025-05-11","광진자양점",16067
"2025-05-11","구로신도림점",10851
"2025-05-11","구리점",8997
"2025-05-11","군포점",6522
"2025-05-11","금천독산점",13076
"2025-05-11","김포점",8624
"2025-05-11","김해점",5281
"2025-05-11","노원중계점",12601
"2025-05-11","대구달서점",11032
"2025-05-11","대구북구점",4784
"2025-05-11","대구수성점",8209
"2025-05-11","대구중구점",7341
"2025-05-11","대전서구점",13774
"2025-05-11","대전유성점",7712
"2025-05-11","대전중구점",11247
"2025-05-11","도봉쌍문점",14858
"2025-05-11","동대문제기점",15353
"2025-05-11","동작상도점",10527
"2025-05-11","동탄점",12283
"2025-05-11","마포상암점",9533
"2025-05-11","부산남구점",7329
"2025-05-11","부산동래점",9559
"2025-05-11","부산사하점",6331
"2025-05-11","부산진구점",10524
"2025-05-11","부산해운대점",5350
"2025-05-11","부천점",16764
"2025-05-11","분당점",14680
"2025-05-11","서대문신촌점",23401
"2025-05-11","서초교대점",7124
"2025-05-11","서초내방점",10915
"2025-05-11","서초반포점",6905
"2025-05-11","성남점",14367
"2025-05-11","성동옥수점",10840
"2025-05-11","송파문정점",9630
"2025-05-11","송파신천점",6259
"2025-05-11","송파잠실점",9855
"2025-05-11","수원광교점",9273
"2025-05-11","수원권선점",7790
"2025-05-11","수원인계점",17213
"2025-05-11","시흥점",9243
"2025-05-11","안산점",15454
"2025-05-11","안양점",11953
"2025-05-11","영등포신길점",15770
"2025-05-11","오산점",8955
"2025-05-11","용산한남점",9923
"2025-05-11","용인점",11965
